time_difference,公告日期,证券代码,证券简称,违规年度
3.0,2021,300500,启迪设计,2018.0
3.0,2019,652,泰达股份,2016.0
5.0,2023,300495,*ST 美尚,2018.0
2.0,2021,300500,启迪设计,2019.0
2.0,2019,652,泰达股份,2017.0
4.0,2023,300495,*ST 美尚,2019.0
1.0,2019,652,泰达股份,2018.0
4.0,2022,300500,启迪设计,2018.0
6.0,2020,2407,多氟多,2014.0
0.0,2022,656,金科股份,2022.0
3.0,2022,300500,启迪设计,2019.0
2.0,2022,300176,派生科技,2020.0
4.0,2019,659,珠海中富,2015.0
2.0,2022,300503,昊志机电,2020.0
1.0,2022,300176,派生科技,2021.0
1.0,2017,661,长春高新,2016.0
1.0,2022,300503,昊志机电,2021.0
0.0,2021,603602,纵横通信,2021.0
5.0,2021,662,天夏退,2016.0
1.0,2019,300442,普丽盛,2018.0
4.0,2021,662,天夏退,2017.0
3.0,2022,300505,川金诺,2019.0
4.0,2018,200468,*ST 宁通B,2014.0
3.0,2021,662,天夏退,2018.0
2.0,2022,300505,川金诺,2020.0
3.0,2018,200468,*ST 宁通B,2015.0
2.0,2021,662,天夏退,2019.0
1.0,2022,300505,川金诺,2021.0
2.0,2018,200468,*ST 宁通B,2016.0
4.0,2021,663,永安林业,2017.0
3.0,2022,300506,名家汇,2019.0
1.0,2018,200468,*ST 宁通B,2017.0
3.0,2021,663,永安林业,2018.0
2.0,2022,300521,爱司凯,2020.0
5.0,2021,666,经纬纺机,2016.0
1.0,2022,300521,爱司凯,2021.0
4.0,2021,666,经纬纺机,2017.0
3.0,2020,300528,幸福蓝海,2017.0
4.0,2018,2288,超华科技,2014.0
3.0,2021,666,经纬纺机,2018.0
3.0,2022,300586,美联新材,2019.0
2.0,2021,666,经纬纺机,2019.0
3.0,2019,300615,欣天科技,2016.0
3.0,2019,2496,辉丰股份,2016.0
2.0,2020,668,荣丰控股,2018.0
2.0,2019,300615,欣天科技,2017.0
2.0,2019,2496,辉丰股份,2017.0
1.0,2020,668,荣丰控股,2019.0
3.0,2022,300629,新劲刚,2019.0
4.0,2019,300020,银江股份,2015.0
0.0,2020,668,荣丰控股,2020.0
2.0,2022,300670,大烨智能,2020.0
3.0,2022,2285,世联行,2019.0
1.0,2022,669,ST 金鸿,2021.0
2.0,2019,300676,华大基因,2017.0
6.0,2021,670,*ST 盈方,2015.0
1.0,2022,300716,国立科技,2021.0
5.0,2020,671,阳光城,2015.0
3.0,2022,300716,国立科技,2019.0
0.0,2022,2285,世联行,2022.0
4.0,2020,671,阳光城,2016.0
2.0,2021,300766,每日互动,2019.0
3.0,2020,671,阳光城,2017.0
1.0,2022,300834,星辉环材,2021.0
2.0,2020,671,阳光城,2018.0
3.0,2018,600051,宁波联合,2015.0
1.0,2020,671,阳光城,2019.0
2.0,2018,600051,宁波联合,2016.0
